rt,responses,trial_type,time_elapsed,surveydata,success,stimulus,key_press,perf,bonus,detectfocus,,,,,,,,,,,
33707.10000002380,{},survey-html-new,33714,block,Beer,,,,,,,,,,,,,,,,
7720.900000035760,{worker_id:5e7d75684ba18a4076ea9d3d},id_enter,41444,,,,,,,,,,,,,,,,,,
,,fullscreen,44297,,TRUE,,,,,,,,,,,,,,,,
17551.900000035800,,intro_1,61853,,,<div style='margin-left:300px ;margin-right: 300px ;text-justify: auto'><p><b>Welcome!</b></p><p>You're rummaging through a house to find photographs to sell. You look for photographs in six rooms.</p><p> In each room, you find a stack of photographs which have a center image and a background scene. The background scene represents where the photograph was taken. Each image was photographed in its own unique location, so please use the scenes as a guide when learning about each image. Later, you will be asked to choose beteween two images. Make sure to pay attention to the images and where they were photographed. Each image is photographed in a unique location. As you're going through the stack, you're told the resale value for each photograph.</p><p>[press the spacebar to continue]</p>,32,,,,,,,,,,
20834.599999964200,,intro_2,82691,,,<div style='margin-left:300px ;margin-right: 300px ;text-justify: auto'><p>The photographs in each room are from one or more collections, <b>each collection has its own average resale value</b>. Each collection is more or less valuable on average, though each photograph has its own individual value. For instance,you might have a run of photographs that are worth $0.55 on average,followed by a run that are worth $0.15 on average, but the actual values of each photograph will range around those averages.</p><p>So when you're going through the stack, <b>you might find that the resale values suddenly jump up or down</b>. This means that you're in a different collection, one that is more or less valuable. You may go through several collections in one room (although you will go through each collection one at a time). </p><p><b>You should pay attention to the values of each photograph.</b> At the end of the room, you will get to choose between two photographs and will be tested on which one is more valuable. If you make the right choice, you'll get double your commission for that photograph. The photographs you'll be tested on might come from different collections, or from the same collection, so pay attention!</p><p>[press the spacebar to continue]</p></div>,32,,,
11586.400000035800,,intro_3,94279,,,<div style='margin-left:300px ;margin-right: 300px ;text-justify: auto'><p>Finally, to make sure you remember which photographs you found in each room, you'll be tested for your memory. You'll see a series of photographs, some of which are ones you saw in this room, and some of which you haven't seen. You will be asked to distinguish which ones are new (you haven't seen before), versus which ones are old (you saw in this room).</p><p>Please respond as quickly and accurately as possible to the photographs you see in this section. Although we don't expect perfect memory, poor memory performance will decrease your earnings! </p><p>[press the spacebar to continue]</p></div>,32,,,,,,,,
11815.699999988100,,intro_4,106097,,,<div style='margin-left:300px ;margin-right: 300px ;text-justify: auto'><p>So,in total you will have three tasks in each room: <br> 1. Learn about and accumulate the values of the photographs,one at a time <br> 2. Choose between pairs of the photographs <br> 3. Pass a memory test on the photographs you've seen <br></p><p>To receive full payment, you will need to complete this experiment and submit it. In the case of an event that precludes you from completing the experiment, please return the HIT and do not submit it. In that case, please e-mail mnadkarn@uci.edu to be compensated for the time you did spend on the task. </p><p>[press the spacebar to continue]</p></div>,32,,,,,,,,,
35902.59999996420,{Q0:C,Q1:B,Q2:B},quiz_prac,142004,,,,,,,,,,,,,,,,
41724.09999996420,{},quiz_incorrect,183736,,,,,,,,,,,,,,,,,,
19213.899999976200,{Q0:C,Q1:C,Q2:C},quiz_prac,202955,,,,,,,,,,,,,,,,
8601.199999988080,{},quiz_incorrect,211560,,,,,,,,,,,,,,,,,,
6178.899999976160,{Q0:C,Q1:B,Q2:C},quiz_prac,217744,,,,,,,,,,,,,,,,
1490.300000011920,{},quiz_correct,219240,,,,,,,,,,,,,,,,,,
41418.19999998810,,intro_learn,260660,,,<div style='margin-left:300px ;margin-right: 300px;text-justify: auto'><p>Before beginning the real task, you will complete a short version of the experiment. </p><p>During this phase, you will view each photograph you pick up within the room. The photograph will appear on the screen,and after 1 second you will also see its resale value for 2 seconds. </p><p>You will receive a 10% commission on each photograph you pick up. Their values depend on the collection the photos belong to, some collections more or less valuable than others. You may go through several collections in one room (although you will go through each collection one at a time). </p><p><b>Remember both the photographs and their values.</b> You will get the chance to choose between two photographs, and if you make the right choice (the higher value photo), you'll get double your commission for that photograph. You will also be asked to remember the photographs in a memory test.</p><p>[press the spacebar to begin]</p></div>,32,,,,,,,,
