rt,responses,trial_type,time_elapsed,surveydata,success,stimulus,key_press,perf,bonus,detectfocus,,,,,,,,,,,
3574.800000011920,{},survey-html-new,3577,inter,Beer,,,,,,,,,,,,,,,,
8461.200000017880,{worker_id:606b197a43dfda2edcd80803},id_enter,12039,,,,,,,,,,,,,,,,,,
,,fullscreen,14654,,TRUE,,,,,,,,,,,,,,,,
21276.5,,intro_1,35948,,,<div style='margin-left:300px ;margin-right: 300px ;text-justify: auto'><p><b>Welcome!</b></p><p>You're rummaging through a house to find photographs to sell. You look for photographs in six rooms.</p><p> In each room, you find a stack of photographs which have a center image and a background scene. The background scene represents where the photograph was taken. Each image was photographed in its own unique location, so please use the scenes as a guide when learning about each image. Later, you will be asked to choose beteween two images. Make sure to pay attention to the images and where they were photographed. Each image is photographed in a unique location. As you're going through the stack, you're told the resale value for each photograph.</p><p>[press the spacebar to continue]</p>,32,,,,,,,,,,
43783.79999998210,,intro_2,79732,,,<div style='margin-left:300px ;margin-right: 300px ;text-justify: auto'><p>The photographs in each room are from one or more collections, <b>each collection has its own average resale value</b>. Each collection is more or less valuable on average, though each photograph has its own individual value. For instance,you might have a run of photographs that are worth $0.55 on average,followed by a run that are worth $0.15 on average, but the actual values of each photograph will range around those averages.</p><p>So when you're going through the stack, <b>you might find that the resale values suddenly jump up or down</b>. This means that you're in a different collection, one that is more or less valuable. You may go through several collections in one room (although you will go through each collection one at a time). </p><p><b>You should pay attention to the values of each photograph.</b> At the end of the room, you will get to choose between two photographs and will be tested on which one is more valuable. If you make the right choice, you'll get double your commission for that photograph. The photographs you'll be tested on might come from different collections, or from the same collection, so pay attention!</p><p>[press the spacebar to continue]</p></div>,32,,,
16142.5,,intro_3,95875,,,<div style='margin-left:300px ;margin-right: 300px ;text-justify: auto'><p>Finally, to make sure you remember which photographs you found in each room, you'll be tested for your memory. You'll see a series of photographs, some of which are ones you saw in this room, and some of which you haven't seen. You will be asked to distinguish which ones are new (you haven't seen before), versus which ones are old (you saw in this room).</p><p>Please respond as quickly and accurately as possible to the photographs you see in this section. Although we don't expect perfect memory, poor memory performance will decrease your earnings! </p><p>[press the spacebar to continue]</p></div>,32,,,,,,,,
19342,,intro_4,115237,,,<div style='margin-left:300px ;margin-right: 300px ;text-justify: auto'><p>So,in total you will have three tasks in each room: <br> 1. Learn about and accumulate the values of the photographs,one at a time <br> 2. Choose between pairs of the photographs <br> 3. Pass a memory test on the photographs you've seen <br></p><p>To receive full payment, you will need to complete this experiment and submit it. In the case of an event that precludes you from completing the experiment, please return the HIT and do not submit it. In that case, please e-mail mnadkarn@uci.edu to be compensated for the time you did spend on the task. </p><p>[press the spacebar to continue]</p></div>,32,,,,,,,,,
20135.09999999400,{Q0:C,Q1:B,Q2:B},quiz_prac,135373,,,,,,,,,,,,,,,,
22279.30000001190,{},quiz_incorrect,157653,,,,,,,,,,,,,,,,,,
319480.8000000120,{Q0:C,Q1:B,Q2:A},quiz_prac,477212,,,,,,,,,,,,,,,,
15896,{},quiz_incorrect,493109,,,,,,,,,,,,,,,,,,
8442.59999999404,{Q0:B,Q1:B,Q2:A},quiz_prac,501552,,,,,,,,,,,,,,,,
3424.9000000059600,{},quiz_incorrect,504992,,,,,,,,,,,,,,,,,,
3727.5,{Q0:A,Q1:B,Q2:A},quiz_prac,508720,,,,,,,,,,,,,,,,
2677.7999999821200,{},quiz_incorrect,511399,,,,,,,,,,,,,,,,,,
