rt,responses,trial_type,time_elapsed,surveydata,success,stimulus,key_press,perf,bonus,detectfocus,,,,,,,,,,,
1627.5,{},survey-html-new,1628,inter,Beer,,,,,,,,,,,,,,,,
3851,{worker_id:631ffc3584141f143567f021},id_enter,5480,,,,,,,,,,,,,,,,,,
,,fullscreen,8125,,TRUE,,,,,,,,,,,,,,,,
33874.39999985700,,intro_1,42000,,,<div style='margin-left:300px ;margin-right: 300px ;text-justify: auto'><p><b>Welcome!</b></p><p>You're rummaging through a house to find photographs to sell. You look for photographs in six rooms.</p><p> In each room, you find a stack of photographs which have a center image and a background scene. The background scene represents where the photograph was taken. Each image was photographed in its own unique location, so please use the scenes as a guide when learning about each image. Later, you will be asked to choose beteween two images. Make sure to pay attention to the images and where they were photographed. Each image is photographed in a unique location. As you're going through the stack, you're told the resale value for each photograph.</p><p>[press the spacebar to continue]</p>,32,,,,,,,,,,
45945.59999990460,,intro_2,87946,,,<div style='margin-left:300px ;margin-right: 300px ;text-justify: auto'><p>The photographs in each room are from one or more collections, <b>each collection has its own average resale value</b>. Each collection is more or less valuable on average, though each photograph has its own individual value. For instance,you might have a run of photographs that are worth $0.55 on average,followed by a run that are worth $0.15 on average, but the actual values of each photograph will range around those averages.</p><p>So when you're going through the stack, <b>you might find that the resale values suddenly jump up or down</b>. This means that you're in a different collection, one that is more or less valuable. You may go through several collections in one room (although you will go through each collection one at a time). </p><p><b>You should pay attention to the values of each photograph.</b> At the end of the room, you will get to choose between two photographs and will be tested on which one is more valuable. If you make the right choice, you'll get double your commission for that photograph. The photographs you'll be tested on might come from different collections, or from the same collection, so pay attention!</p><p>[press the spacebar to continue]</p></div>,32,,,
37072.90000009540,,intro_3,125019,,,<div style='margin-left:300px ;margin-right: 300px ;text-justify: auto'><p>Finally, to make sure you remember which photographs you found in each room, you'll be tested for your memory. You'll see a series of photographs, some of which are ones you saw in this room, and some of which you haven't seen. You will be asked to distinguish which ones are new (you haven't seen before), versus which ones are old (you saw in this room).</p><p>Please respond as quickly and accurately as possible to the photographs you see in this section. Although we don't expect perfect memory, poor memory performance will decrease your earnings! </p><p>[press the spacebar to continue]</p></div>,32,,,,,,,,
31017,,intro_4,156037,,,<div style='margin-left:300px ;margin-right: 300px ;text-justify: auto'><p>So,in total you will have three tasks in each room: <br> 1. Learn about and accumulate the values of the photographs,one at a time <br> 2. Choose between pairs of the photographs <br> 3. Pass a memory test on the photographs you've seen <br></p><p>To receive full payment, you will need to complete this experiment and submit it. In the case of an event that precludes you from completing the experiment, please return the HIT and do not submit it. In that case, please e-mail mnadkarn@uci.edu to be compensated for the time you did spend on the task. </p><p>[press the spacebar to continue]</p></div>,32,,,,,,,,,
40880,{Q0:A,Q1:B,Q2:C},quiz_prac,196917,,,,,,,,,,,,,,,,
70618,{},quiz_incorrect,267536,,,,,,,,,,,,,,,,,,
73548.20000004770,{Q0:C,Q1:B,Q2:C},quiz_prac,341086,,,,,,,,,,,,,,,,
3189.399999856950,{},quiz_correct,344276,,,,,,,,,,,,,,,,,,
49620.299999952300,,intro_learn,393896,,,<div style='margin-left:300px ;margin-right: 300px;text-justify: auto'><p>Before beginning the real task, you will complete a short version of the experiment. </p><p>During this phase, you will view each photograph you pick up within the room. The photograph will appear on the screen,and after 1 second you will also see its resale value for 2 seconds. </p><p>You will receive a 10% commission on each photograph you pick up. Their values depend on the collection the photos belong to, some collections more or less valuable than others. You may go through several collections in one room (although you will go through each collection one at a time). </p><p><b>Remember both the photographs and their values.</b> You will get the chance to choose between two photographs, and if you make the right choice (the higher value photo), you'll get double your commission for that photograph. You will also be asked to remember the photographs in a memory test.</p><p>[press the spacebar to begin]</p></div>,32,,,,,,,,
null,,prac_learn_scene,394898,,,<p style='color: #ffffff'>jhjhj</p><br><br><p style='color: #ffffff'>jhjhj</p><img style='position:absolute;top: 50%;right: 50%;transform: translate(50%,-50%);z-score:-1;width: 450px;height: 450px;' src='../static/sis_landscape_images/background_311.jpg' height='250'><img style='position:absolute;top: 50%;right: 50%;transform: translate(50%,-50%);z-score:0;width: 250px;height: 250px;' src='../static/images/beverage_77.jpg' height='250'><style>body {background-color: #ffffff;}</style>,null,,,,,,,,,,,,
null,,prac_learn_sceneVal,396900,,,<img src='../static/images/28.png' style='position:absolute;top: 15%;right: 50%;transform: translate(50%,-50%);width: 300px;height: 140px;'><p style='color: #ffffff'>jhjhj</p><br><br><p style='color: #ffffff'>jhjhj</p><img style='position:absolute;top: 50%;right: 50%;transform: translate(50%,-50%);z-score:-1;width: 450px;height: 450px;' src='../static/sis_landscape_images/background_311.jpg' height='250'><img style='position:absolute;top: 50%;right: 50%;transform: translate(50%,-50%);z-score:0;width: 250px;height: 250px;' src='../static/images/beverage_77.jpg' height='250'><style>body {background-color: #ffffff;}</style>,null,,,,,,,,,,,
null,,prac_learn_scene,397901,,,<p style='color: #ffffff'>jhjhj</p><br><br><p style='color: #ffffff'>jhjhj</p><img style='position:absolute;top: 50%;right: 50%;transform: translate(50%,-50%);z-score:-1;width: 450px;height: 450px;' src='../static/sis_landscape_images/background_344.jpg' height='250'><img style='position:absolute;top: 50%;right: 50%;transform: translate(50%,-50%);z-score:0;width: 250px;height: 250px;' src='../static/images/beverage_11.jpg' height='250'><style>body {background-color: #ffffff;}</style>,null,,,,,,,,,,,,
null,,prac_learn_sceneVal,399903,,,<img src='../static/images/26.png' style='position:absolute;top: 15%;right: 50%;transform: translate(50%,-50%);width: 300px;height: 140px;'><p style='color: #ffffff'>jhjhj</p><br><br><p style='color: #ffffff'>jhjhj</p><img style='position:absolute;top: 50%;right: 50%;transform: translate(50%,-50%);z-score:-1;width: 450px;height: 450px;' src='../static/sis_landscape_images/background_344.jpg' height='250'><img style='position:absolute;top: 50%;right: 50%;transform: translate(50%,-50%);z-score:0;width: 250px;height: 250px;' src='../static/images/beverage_11.jpg' height='250'><style>body {background-color: #ffffff;}</style>,null,,,,,,,,,,,
null,,prac_learn,402904,,,<p style='color: #ffffff'>jhjhj</p><p style='color: #ffffff'>jhjhj<style>body {background-color: #ffffff;}</style><h1>Is the value of this scene higher than the last one?</h1><br><br><h1>Press '1' for lower,'2' for higher</h1>,null,,,,,,,,,,,,,
null,,warning_page,405906,,,<h1>Please make sure to respond to the questions.</h1><br><h1>Continued failure to respond will</h1><br><h1> result in the task ending early</h1><br><h1>The experiment will resume in 3 seconds</h1>,null,,,,,,,,,,,,,,
