rt,responses,trial_type,time_elapsed,surveydata,success,stimulus,key_press,perf,bonus,detectfocus,,,,,,,,,,,
9135.59999999404,{},survey-html-new,9143,inter,Red_Wine,,,,,,,,,,,,,,,,
23709.5,{worker_id:65333c5d7986446bae37c026},id_enter,32862,,,,,,,,,,,,,,,,,,
,,fullscreen,35778,,TRUE,,,,,,,,,,,,,,,,
17829.29999999700,,intro_1,53613,,,<div style='margin-left:300px ;margin-right: 300px ;text-justify: auto'><p><b>Welcome!</b></p><p>You're rummaging through a house to find photographs to sell. You look for photographs in six rooms.</p><p> In each room, you find a stack of photographs which have a center image and a background scene. The background scene represents where the photograph was taken. Each image was photographed in its own unique location, so please use the scenes as a guide when learning about each image. Later, you will be asked to choose beteween two images. Make sure to pay attention to the images and where they were photographed. Each image is photographed in a unique location. As you're going through the stack, you're told the resale value for each photograph.</p><p>[press the spacebar to continue]</p>,32,,,,,,,,,,
34767.5,,intro_2,88385,,,<div style='margin-left:300px ;margin-right: 300px ;text-justify: auto'><p>The photographs in each room are from one or more collections, <b>each collection has its own average resale value</b>. Each collection is more or less valuable on average, though each photograph has its own individual value. For instance,you might have a run of photographs that are worth $0.55 on average,followed by a run that are worth $0.15 on average, but the actual values of each photograph will range around those averages.</p><p>So when you're going through the stack, <b>you might find that the resale values suddenly jump up or down</b>. This means that you're in a different collection, one that is more or less valuable. You may go through several collections in one room (although you will go through each collection one at a time). </p><p><b>You should pay attention to the values of each photograph.</b> At the end of the room, you will get to choose between two photographs and will be tested on which one is more valuable. If you make the right choice, you'll get double your commission for that photograph. The photographs you'll be tested on might come from different collections, or from the same collection, so pay attention!</p><p>[press the spacebar to continue]</p></div>,32,,,
15313.70000000300,,intro_3,103702,,,<div style='margin-left:300px ;margin-right: 300px ;text-justify: auto'><p>Finally, to make sure you remember which photographs you found in each room, you'll be tested for your memory. You'll see a series of photographs, some of which are ones you saw in this room, and some of which you haven't seen. You will be asked to distinguish which ones are new (you haven't seen before), versus which ones are old (you saw in this room).</p><p>Please respond as quickly and accurately as possible to the photographs you see in this section. Although we don't expect perfect memory, poor memory performance will decrease your earnings! </p><p>[press the spacebar to continue]</p></div>,32,,,,,,,,
11952.29999999700,,intro_4,115658,,,<div style='margin-left:300px ;margin-right: 300px ;text-justify: auto'><p>So,in total you will have three tasks in each room: <br> 1. Learn about and accumulate the values of the photographs,one at a time <br> 2. Choose between pairs of the photographs <br> 3. Pass a memory test on the photographs you've seen <br></p><p>To receive full payment, you will need to complete this experiment and submit it. In the case of an event that precludes you from completing the experiment, please return the HIT and do not submit it. In that case, please e-mail mnadkarn@uci.edu to be compensated for the time you did spend on the task. </p><p>[press the spacebar to continue]</p></div>,32,,,,,,,,,
38761,{Q0:C,Q1:B,Q2:B},quiz_prac,154425,,,,,,,,,,,,,,,,
14998.10000000890,{},quiz_incorrect,169913,,,,,,,,,,,,,,,,,,
14707.90000000600,{Q0:B,Q1:B,Q2:A},quiz_prac,184626,,,,,,,,,,,,,,,,
21421.60000000890,{},quiz_incorrect,206053,,,,,,,,,,,,,,,,,,
96189.5,{Q0:C,Q1:B,Q2:C},quiz_prac,302248,,,,,,,,,,,,,,,,
3384.4000000059600,{},quiz_correct,305638,,,,,,,,,,,,,,,,,,
18587.30000001190,,intro_learn,324228,,,<div style='margin-left:300px ;margin-right: 300px;text-justify: auto'><p>Before beginning the real task, you will complete a short version of the experiment. </p><p>During this phase, you will view each photograph you pick up within the room. The photograph will appear on the screen,and after 1 second you will also see its resale value for 2 seconds. </p><p>You will receive a 10% commission on each photograph you pick up. Their values depend on the collection the photos belong to, some collections more or less valuable than others. You may go through several collections in one room (although you will go through each collection one at a time). </p><p><b>Remember both the photographs and their values.</b> You will get the chance to choose between two photographs, and if you make the right choice (the higher value photo), you'll get double your commission for that photograph. You will also be asked to remember the photographs in a memory test.</p><p>[press the spacebar to begin]</p></div>,32,,,,,,,,
null,,prac_learn_scene,325236,,,<p style='color: #ffffff'>jhjhj</p><br><br><p style='color: #ffffff'>jhjhj</p><img style='position:absolute;top: 50%;right: 50%;transform: translate(50%,-50%);z-score:-1;width: 450px;height: 450px;' src='../static/sis_landscape_images/background_287.jpg' height='250'><img style='position:absolute;top: 50%;right: 50%;transform: translate(50%,-50%);z-score:0;width: 250px;height: 250px;' src='../static/images/beverage_66.jpg' height='250'><style>body {background-color: #ffffff;}</style>,null,,,,,,,,,,,,
