rt,responses,trial_type,time_elapsed,surveydata,success,stimulus,key_press,perf,bonus,detectfocus,,,,,,,,,,,
11819.69999999550,{},survey-html-new,11828,block,Beer,,,,,,,,,,,,,,,,
23290.70000000300,{worker_id:6544fd514964fea23051c3b7},id_enter,35124,,,,,,,,,,,,,,,,,,
,,fullscreen,41492,,TRUE,,,,,,,,,,,,,,,,
60279.10000000150,,intro_1,101775,,,<div style='margin-left:300px ;margin-right: 300px ;text-justify: auto'><p><b>Welcome!</b></p><p>You're rummaging through a house to find photographs to sell. You look for photographs in six rooms.</p><p> In each room, you find a stack of photographs which have a center image and a background scene. The background scene represents where the photograph was taken. Each image was photographed in its own unique location, so please use the scenes as a guide when learning about each image. Later, you will be asked to choose beteween two images. Make sure to pay attention to the images and where they were photographed. Each image is photographed in a unique location. As you're going through the stack, you're told the resale value for each photograph.</p><p>[press the spacebar to continue]</p>,32,,,,,,,,,,
75895.29999999700,,intro_2,177673,,,<div style='margin-left:300px ;margin-right: 300px ;text-justify: auto'><p>The photographs in each room are from one or more collections, <b>each collection has its own average resale value</b>. Each collection is more or less valuable on average, though each photograph has its own individual value. For instance,you might have a run of photographs that are worth $0.55 on average,followed by a run that are worth $0.15 on average, but the actual values of each photograph will range around those averages.</p><p>So when you're going through the stack, <b>you might find that the resale values suddenly jump up or down</b>. This means that you're in a different collection, one that is more or less valuable. You may go through several collections in one room (although you will go through each collection one at a time). </p><p><b>You should pay attention to the values of each photograph.</b> At the end of the room, you will get to choose between two photographs and will be tested on which one is more valuable. If you make the right choice, you'll get double your commission for that photograph. The photographs you'll be tested on might come from different collections, or from the same collection, so pay attention!</p><p>[press the spacebar to continue]</p></div>,32,,,
35064.60000000150,,intro_3,212739,,,<div style='margin-left:300px ;margin-right: 300px ;text-justify: auto'><p>Finally, to make sure you remember which photographs you found in each room, you'll be tested for your memory. You'll see a series of photographs, some of which are ones you saw in this room, and some of which you haven't seen. You will be asked to distinguish which ones are new (you haven't seen before), versus which ones are old (you saw in this room).</p><p>Please respond as quickly and accurately as possible to the photographs you see in this section. Although we don't expect perfect memory, poor memory performance will decrease your earnings! </p><p>[press the spacebar to continue]</p></div>,32,,,,,,,,
40013.19999999550,,intro_4,252754,,,<div style='margin-left:300px ;margin-right: 300px ;text-justify: auto'><p>So,in total you will have three tasks in each room: <br> 1. Learn about and accumulate the values of the photographs,one at a time <br> 2. Choose between pairs of the photographs <br> 3. Pass a memory test on the photographs you've seen <br></p><p>To receive full payment, you will need to complete this experiment and submit it. In the case of an event that precludes you from completing the experiment, please return the HIT and do not submit it. In that case, please e-mail mnadkarn@uci.edu to be compensated for the time you did spend on the task. </p><p>[press the spacebar to continue]</p></div>,32,,,,,,,,,
92187.19999999550,{Q0:C,Q1:B,Q2:B},quiz_prac,344944,,,,,,,,,,,,,,,,
84274.5,{},quiz_incorrect,429225,,,,,,,,,,,,,,,,,,
56671.79999999700,{Q0:A,Q1:B,Q2:C},quiz_prac,485901,,,,,,,,,,,,,,,,
42661.5,{},quiz_incorrect,528568,,,,,,,,,,,,,,,,,,
91639.5,{Q0:B,Q1:C,Q2:C},quiz_prac,620212,,,,,,,,,,,,,,,,
13861.10000000150,{},quiz_incorrect,634077,,,,,,,,,,,,,,,,,,
139457.5,{Q0:C,Q1:B,Q2:A},quiz_prac,773537,,,,,,,,,,,,,,,,
4832.20000000298,{},quiz_incorrect,778374,,,,,,,,,,,,,,,,,,
14480,{Q0:C,Q1:B,Q2:C},quiz_prac,792858,,,,,,,,,,,,,,,,
7495.69999999553,{},quiz_correct,800357,,,,,,,,,,,,,,,,,,
58364.5,,intro_learn,858727,,,<div style='margin-left:300px ;margin-right: 300px;text-justify: auto'><p>Before beginning the real task, you will complete a short version of the experiment. </p><p>During this phase, you will view each photograph you pick up within the room. The photograph will appear on the screen,and after 1 second you will also see its resale value for 2 seconds. </p><p>You will receive a 10% commission on each photograph you pick up. Their values depend on the collection the photos belong to, some collections more or less valuable than others. You may go through several collections in one room (although you will go through each collection one at a time). </p><p><b>Remember both the photographs and their values.</b> You will get the chance to choose between two photographs, and if you make the right choice (the higher value photo), you'll get double your commission for that photograph. You will also be asked to remember the photographs in a memory test.</p><p>[press the spacebar to begin]</p></div>,32,,,,,,,,
null,,prac_learn_scene,859732,,,<p style='color: #ffffff'>jhjhj</p><br><br><p style='color: #ffffff'>jhjhj</p><img style='position:absolute;top: 50%;right: 50%;transform: translate(50%,-50%);z-score:-1;width: 450px;height: 450px;' src='../static/sis_landscape_images/background_338.jpg' height='250'><img style='position:absolute;top: 50%;right: 50%;transform: translate(50%,-50%);z-score:0;width: 250px;height: 250px;' src='../static/images/beverage_152.jpg' height='250'><style>body {background-color: #ffffff;}</style>,null,,,,,,,,,,,,
null,,prac_learn_sceneVal,861735,,,<img src='../static/images/28.png' style='position:absolute;top: 15%;right: 50%;transform: translate(50%,-50%);width: 300px;height: 140px;'><p style='color: #ffffff'>jhjhj</p><br><br><p style='color: #ffffff'>jhjhj</p><img style='position:absolute;top: 50%;right: 50%;transform: translate(50%,-50%);z-score:-1;width: 450px;height: 450px;' src='../static/sis_landscape_images/background_338.jpg' height='250'><img style='position:absolute;top: 50%;right: 50%;transform: translate(50%,-50%);z-score:0;width: 250px;height: 250px;' src='../static/images/beverage_152.jpg' height='250'><style>body {background-color: #ffffff;}</style>,null,,,,,,,,,,,
null,,prac_learn_scene,862739,,,<p style='color: #ffffff'>jhjhj</p><br><br><p style='color: #ffffff'>jhjhj</p><img style='position:absolute;top: 50%;right: 50%;transform: translate(50%,-50%);z-score:-1;width: 450px;height: 450px;' src='../static/sis_landscape_images/background_143.jpg' height='250'><img style='position:absolute;top: 50%;right: 50%;transform: translate(50%,-50%);z-score:0;width: 250px;height: 250px;' src='../static/images/beverage_271.jpg' height='250'><style>body {background-color: #ffffff;}</style>,null,,,,,,,,,,,,
null,,prac_learn_sceneVal,864745,,,<img src='../static/images/26.png' style='position:absolute;top: 15%;right: 50%;transform: translate(50%,-50%);width: 300px;height: 140px;'><p style='color: #ffffff'>jhjhj</p><br><br><p style='color: #ffffff'>jhjhj</p><img style='position:absolute;top: 50%;right: 50%;transform: translate(50%,-50%);z-score:-1;width: 450px;height: 450px;' src='../static/sis_landscape_images/background_143.jpg' height='250'><img style='position:absolute;top: 50%;right: 50%;transform: translate(50%,-50%);z-score:0;width: 250px;height: 250px;' src='../static/images/beverage_271.jpg' height='250'><style>body {background-color: #ffffff;}</style>,null,,,,,,,,,,,
null,,prac_learn,867748,,,<p style='color: #ffffff'>jhjhj</p><p style='color: #ffffff'>jhjhj<style>body {background-color: #ffffff;}</style><h1>Is the value of this scene higher than the last one?</h1><br><br><h1>Press '1' for lower,'2' for higher</h1>,null,,,,,,,,,,,,,
null,,warning_page,870753,,,<h1>Please make sure to respond to the questions.</h1><br><h1>Continued failure to respond will</h1><br><h1> result in the task ending early</h1><br><h1>The experiment will resume in 3 seconds</h1>,null,,,,,,,,,,,,,,
null,,prac_learn_scene,871757,,,<p style='color: #ffffff'>jhjhj</p><br><br><p style='color: #ffffff'>jhjhj</p><img style='position:absolute;top: 50%;right: 50%;transform: translate(50%,-50%);z-score:-1;width: 450px;height: 450px;' src='../static/sis_landscape_images/background_238.jpg' height='250'><img style='position:absolute;top: 50%;right: 50%;transform: translate(50%,-50%);z-score:0;width: 250px;height: 250px;' src='../static/images/beverage_179.jpg' height='250'><style>body {background-color: #ffffff;}</style>,null,,,,,,,,,,,,
null,,prac_learn_sceneVal,873760,,,<img src='../static/images/34.png' style='position:absolute;top: 15%;right: 50%;transform: translate(50%,-50%);width: 300px;height: 140px;'><p style='color: #ffffff'>jhjhj</p><br><br><p style='color: #ffffff'>jhjhj</p><img style='position:absolute;top: 50%;right: 50%;transform: translate(50%,-50%);z-score:-1;width: 450px;height: 450px;' src='../static/sis_landscape_images/background_238.jpg' height='250'><img style='position:absolute;top: 50%;right: 50%;transform: translate(50%,-50%);z-score:0;width: 250px;height: 250px;' src='../static/images/beverage_179.jpg' height='250'><style>body {background-color: #ffffff;}</style>,null,,,,,,,,,,,
1653.8000000044700,,prac_learn,876765,,,<p style='color: #ffffff'>jhjhj</p><p style='color: #ffffff'>jhjhj<style>body {background-color: #ffffff;}</style><h1>Is the value of this scene higher than the last one?</h1><br><br><h1>Press '1' for lower,'2' for higher</h1>,49,,,,,,,,,,,,,
null,,you_chose_lower,878769,,,<p style='color: #ffffff'>jhjhj</p><p style='color: #ffffff'>jhjhj<style>body {background-color: #ffffff;}</style><h1>You chose lower</h1>,null,,,,,,,,,,,,,,
null,,prac_learn_scene,879774,,,<p style='color: #ffffff'>jhjhj</p><br><br><p style='color: #ffffff'>jhjhj</p><img style='position:absolute;top: 50%;right: 50%;transform: translate(50%,-50%);z-score:-1;width: 450px;height: 450px;' src='../static/sis_landscape_images/background_263.jpg' height='250'><img style='position:absolute;top: 50%;right: 50%;transform: translate(50%,-50%);z-score:0;width: 250px;height: 250px;' src='../static/images/beverage_283.jpg' height='250'><style>body {background-color: #ffffff;}</style>,null,,,,,,,,,,,,
null,,prac_learn_sceneVal,881779,,,<img src='../static/images/33.png' style='position:absolute;top: 15%;right: 50%;transform: translate(50%,-50%);width: 300px;height: 140px;'><p style='color: #ffffff'>jhjhj</p><br><br><p style='color: #ffffff'>jhjhj</p><img style='position:absolute;top: 50%;right: 50%;transform: translate(50%,-50%);z-score:-1;width: 450px;height: 450px;' src='../static/sis_landscape_images/background_263.jpg' height='250'><img style='position:absolute;top: 50%;right: 50%;transform: translate(50%,-50%);z-score:0;width: 250px;height: 250px;' src='../static/images/beverage_283.jpg' height='250'><style>body {background-color: #ffffff;}</style>,null,,,,,,,,,,,
2686.5,,prac_learn,884781,,,<p style='color: #ffffff'>jhjhj</p><p style='color: #ffffff'>jhjhj<style>body {background-color: #ffffff;}</style><h1>Is the value of this scene higher than the last one?</h1><br><br><h1>Press '1' for lower,'2' for higher</h1>,50,,,,,,,,,,,,,
null,,you_chose_higher,886785,,,<p style='color: #ffffff'>jhjhj</p><p style='color: #ffffff'>jhjhj<style>body {background-color: #ffffff;}</style><h1>You chose higher</h1>,null,,,,,,,,,,,,,,
null,,prac_learn_scene,887788,,,<p style='color: #ffffff'>jhjhj</p><br><br><p style='color: #ffffff'>jhjhj</p><img style='position:absolute;top: 50%;right: 50%;transform: translate(50%,-50%);z-score:-1;width: 450px;height: 450px;' src='../static/sis_landscape_images/background_339.jpg' height='250'><img style='position:absolute;top: 50%;right: 50%;transform: translate(50%,-50%);z-score:0;width: 250px;height: 250px;' src='../static/images/beverage_329.jpg' height='250'><style>body {background-color: #ffffff;}</style>,null,,,,,,,,,,,,
null,,prac_learn_sceneVal,889794,,,<img src='../static/images/27.png' style='position:absolute;top: 15%;right: 50%;transform: translate(50%,-50%);width: 300px;height: 140px;'><p style='color: #ffffff'>jhjhj</p><br><br><p style='color: #ffffff'>jhjhj</p><img style='position:absolute;top: 50%;right: 50%;transform: translate(50%,-50%);z-score:-1;width: 450px;height: 450px;' src='../static/sis_landscape_images/background_339.jpg' height='250'><img style='position:absolute;top: 50%;right: 50%;transform: translate(50%,-50%);z-score:0;width: 250px;height: 250px;' src='../static/images/beverage_329.jpg' height='250'><style>body {background-color: #ffffff;}</style>,null,,,,,,,,,,,
2082.2000000029800,,prac_learn,892799,,,<p style='color: #ffffff'>jhjhj</p><p style='color: #ffffff'>jhjhj<style>body {background-color: #ffffff;}</style><h1>Is the value of this scene higher than the last one?</h1><br><br><h1>Press '1' for lower,'2' for higher</h1>,49,,,,,,,,,,,,,
null,,you_chose_lower,894804,,,<p style='color: #ffffff'>jhjhj</p><p style='color: #ffffff'>jhjhj<style>body {background-color: #ffffff;}</style><h1>You chose lower</h1>,null,,,,,,,,,,,,,,
null,,prac_learn_scene,895808,,,<p style='color: #ffffff'>jhjhj</p><br><br><p style='color: #ffffff'>jhjhj</p><img style='position:absolute;top: 50%;right: 50%;transform: translate(50%,-50%);z-score:-1;width: 450px;height: 450px;' src='../static/sis_landscape_images/background_271.jpg' height='250'><img style='position:absolute;top: 50%;right: 50%;transform: translate(50%,-50%);z-score:0;width: 250px;height: 250px;' src='../static/images/beverage_208.jpg' height='250'><style>body {background-color: #ffffff;}</style>,null,,,,,,,,,,,,
